,ROE,Current_ratio,Debt_ratio,Net_profit_margin,ROA,Book_value
제 48 기말,0.084,2.054,0.271,0.086,0.066,4.692
제 49 기 1분기말,0.036,1.793,0.267,0.141,0.028,4.744
제 49 기 반기말,0.079,1.633,0.277,0.144,0.062,4.604
제 49 기 3분기말,0.13,1.564,0.309,0.157,0.1,4.24
제 49 기말,0.19,1.577,0.308,0.178,0.145,4.248
제 50 기 1분기말,0.054,1.534,0.314,0.198,0.041,4.187
제 50 기 반기말,0.102,1.693,0.26,0.197,0.081,4.841
제 50 기 3분기말,0.158,1.766,0.284,0.203,0.123,4.524
제 50 기말,0.19,1.855,0.266,0.193,0.15,4.758
제 51 기 1분기말,0.018,1.857,0.27,0.083,0.014,4.705
제 51 기 반기말,0.041,2.066,0.213,0.095,0.034,5.694
제 51 기 3분기말,0.066,2.063,0.224,0.1,0.054,5.473
